id;documento
11;Em quase duas horas de discurso, Xi também defendeu sua controvertida política de covid zero, frustrando qualquer esperança de que a medida, que tenta eliminar as infecções por coronavírus com bloqueios rigorosos, termine nos próximos meses.
12;A direção-geral da Câmara, porém, garante que não haverá aumento de gastos porque houve economia de cerca de R$ 140 milhões com o corte de verbas de publicidade, cargos de natureza especial e dos 40% de horas extras dos funcionários, além da desistência da construção de mais um anexo destinado a gabinetes.
13;Após o Tribunal Superior Eleitoral (TSE) proibir a campanha do ex-presidente Luiz Inácio Lula da Silva (PT) de explorar entrevista em que o presidente Jair Bolsonaro (PL) fala sobre um encontro com adolescentes venezuelanas, o petista foi enfático ao acusar nesta terça-feira, 18, o chefe de Executivo de pedofilia.
14;Ele acusou tanto Tebet como Soraya de se beneficiarem com verbas das emendas de relator, o chamado orçamento secreto, gastas com pouca transparência, e disse que o Orçamento é feito a quatro mãos, com o Executivo e o Legislativo.
15;Nas pesquisas de intenção feitas antes da eleição, a coalizão de direita - formada pelo partido pós-fascista Irmãos da Itália (Fratelli d'Italia, FDI) de Giorgia Meloni, a Liga de Matteo Salvini e Forza Italia (FI) do magnata Silvio Berlusconi - liderava todas as pesquisas, com cerca de 45 a 47% das intenções de voto, contra 22% da coalizão de esquerda - liderada pelo Partido Democrata (PD, centro-esquerda).
16;No entanto, o ministro Alexandre de Moraes entendeu que a solicitação está prejudicada, considerando que o processo eleitoral está em curso, com a fiscalização do sistema eletrônico de votação em conformidade com as normas baixadas pela Corte Eleitoral.
17;"Na programação, o teor dos julgamentos -que poderia informado, debatido e inclusive criticado- cede espaço para especulações, sem nenhum fundamento em evidência fática, sobre conchavos políticos e sobre imaginária manipulação de pesquisas e mesmo dos resultados das eleições.
18;O senador João Pedro (PT-AM), relator da segunda representação contra Renan Calheiros (PMDB-AL) no Senado, confirmou que vai apresentar nesta quarta-feira, 26, na reunião doConselho de Ética, pedido de sobrestamento (suspensão temporária) das investigações sobre o caso.
19;Chinaglia lembrou ainda que, quando a Câmara começou o debate e a votação da reforma política, ficou acertado entre os líderes dos partidos que, primeiro, seriam tratadas as questões que dependem de lei para, depois, serem analisados os assuntos que exigissem mudanças na Constituição.
20;"A afirmação do comitê não tem nenhum efeito jurídico, mas tem peso político para fortalecer o discurso de Lula de perseguição política às vésperas da disputa eleitoral na qual lidera as pesquisas de intenção de voto."
21;"Na visita, ele atacou o então governador de São Paulo, João Doria (PSDB), a quem chamou de "patife", e reafirmou que não pretendia adotar um lockdown nacional para conter a disseminação do coronavírus -medida à época defendida por especialistas como necessária para frear a disseminação da Covid-19."
22;A pesquisa de boca de urna da eleição na Itália divulgada neste domingo (25) aponta que a coalizão de direita - formada pelo partido pós-fascista Irmãos da Itália (Fratelli d'Italia, FDI) de Giorgia Meloni, a Liga de Matteo Salvini e Forza Italia (FI) do magnata Silvio Berlusconi - deve sair vencedora das eleições nacionais.
23;Nele, a troca de acusações que pauta a campanha do segundo turno se mostrou em todo o esplendor, mas o tom foi relativamente comedido em comparação com o que se vê nas redes sociais e na propaganda de rádio e TV.Outro episódio marcante desta etapa foi a sequência de falas de Bolsonaro sobre meninas venezuelanas que ele abordou no entorno de Brasília.
24;"Desde que o então presidente Pedro Guimarães deixou o cargo após funcionárias o denunciarem por assédio sexual, quatro vice-presidentes foram trocados, incluindo Salituro: o vice-presidente de Negócios de Atacado, Celso Leonardo Barbosa, muito próximo a Guimarães e também citado em denúncias; o vice-presidente de Logística, Antônio Carlos Ferreira, também citado em denúncias de funcionários; e a vice-presidente da Rede de Varejo, Camila de Freitas Aichinger."
25;Após uma semana, o julgamento contra a fabricante Airbus e a companhia aérea Air France por homicídio culposo, por conta do acidente que deixou 228 vítimas fatais em 2009 após queda de avião que ia do Rio para Paris, revelou o áudio (somente para aqueles que estavam na sessão) com a conversas entre pilotos e a torre de comando pouco antes da aeronave cair no Oceano Atlântico
26;Até esta sexta-feira (14), o candidato petista recebeu mais verba pública e menos apoio de pessoas físicas, enquanto a lista de doadores do ex-ministro de Bolsonaro é mais ampla e vai de bilionários a ex-piloto de Fórmula 1.
27;Quando a torcida já cantava e gritava olé, Kaká ainda teve vontade para fazer mais um, só que o quinto gol brasileiro foi muito mais mérito do arqueiro Viteri, que não segurou um chute fraco e no meio do gol dado pelo meia brasileiro.
28;Na abertura do congresso que deve confirmar seu terceiro mandato, o presidente da China, Xi Jinping, disse neste domingo (16) que quer o controle total de Taiwan e que o direito de usar a força na ilha autogovernada não será renunciado.
29;O contexto da guerra cria urgência sobre a segurança energética e deixa em xeque os planos de transição da União Europeia, que até então estava em uma posição mais confortável para pedir ao restante do mundo mais ambição nas metas de redução das emissões de gases-estufa.
30;Não estão claros quais são os termos da compra do combustível russo, que, depois de terem suas compras reduzidas pela Europa e Reino Unido, vinha sendo vendido com descontos maciços principalmente para a China e para Índia - o que ajudou a compensar as perdas russas com as sanções.
